vacc;mspi;dyst;disg_sens;party;sys_jus
1;1,51599850787145796;3;-1,85523034064555192;NA;0,6233736843660577
0;0,47802509911215985;4;1,38419545913059983;NA;0,2915460610673880
0;1,47319548070612627;4;0,63663565918225706;nonVote;1,2870289309633967
1;1,44644358872779377;1;1,75797535910477110;nonVote;-1,3675920554259595
1;1,46249472391479296;1;-0,36011074074886673;nonVote;-1,3675920554259595
0;0,67063872135615310;3;-0,36011074074886673;NA;0,6233736843660577
1;-1,14848993317045256;1;-0,02786194077182568;NA;0,9552013076647274
1;-0,49574376889914096;4;-0,11092414076608569;ruling party;1,2870289309633967
0;0,61713493739948821;3;0,63663565918225706;nonVote;0,2915460610673880
0;0,99166142509614230;3;-1,85523034064555192;ruling party;2,6143394241580751
0;1,19497580413146864;2;1,13500885914781913;opposition;1,6188565542620663
0;-0,29242938986381461;3;-0,44317294074312702;nonVote;0,2915460610673880
1;1,32338488562746459;2;-2,10441694062833307;opposition;-0,0402815622312812
1;0,98096066830480921;NA;2,13175525907894237;opposition;-0,7039368088286204
1;-1,84403912460709596;1;-0,69235954072590777;opposition;-1,0357644321272901
0;0,57433191023415653;2;-0,69235954072590777;NA;-0,7039368088286204
1;-1,93767074653125948;1;-1,43991934067425054;opposition;0,6233736843660577
1;-1,04148236525712279;NA;-0,39125906574671421;NA;-1,3675920554259595
1;-0,23892560590714973;1;1,55031985911912051;opposition;0,1256322494180534
1;0,65993796456482001;1;-1,10767054069720938;opposition;1,2870289309633967
0;0,83115007322614776;1;-0,11092414076608569;NA;0,6233736843660577
1;-1,76913382706776523;1;-2,03322076920468087;NA;-0,3721091855299509
1;1,52669926466279104;NA;-0,21771839790156317;nonVote;-0,0402815622312812
1;-0,37803544419447810;1;-0,85848394071442846;nonVote;-0,0402815622312812
1;-0,06771349724582200;2;-0,69235954072590777;NA;-1,3675920554259595
1;-1,44276074493210937;NA;1,88256865909616189;ruling party;-1,0357644321272901
1;-0,43153922815114337;NA;-1,77216814065129191;nonVote;-0,7039368088286204
1;-0,37268506579881194;1;-1,77216814065129191;nonVote;-1,0357644321272901
1;-1,01473047327879029;1;-1,60604374066277122;NA;-0,7039368088286204
0;0,63853645098215450;2;-1,10767054069720938;radicals;-1,0357644321272901
1;0,13560088178950436;1;1,30113325913633981;ruling party;-0,7039368088286204
