voiv,mspi_z,pis,corrupt_z
Kujawsko-pomorskie,1.2591803448794667,NA,-0.6046164822458225
Podkarpackie,-1.3732058257884452,0,-0.6106617025026155
Podkarpackie,0.02859331387617462,1,-0.6106617025026155
Wielkopolskie,-0.7097589047258005,0,-0.4633094587432838
Świętokrzyskie,-1.0093800948831237,NA,0.5719345102325348
Świętokrzyskie,-1.9376707465312595,0,0.5719345102325348
Mazowieckie,-0.9986793380917911,NA,0.7608476432573192
Świętokrzyskie,-0.6268280395929701,1,0.5719345102325348
Mazowieckie,1.5052977510801249,NA,0.7608476432573192
Mazowieckie,1.2270780745054681,NA,0.7608476432573192
Mazowieckie,0.9916614250961423,1,0.7608476432573192
Mazowieckie,1.5052977510801249,NA,0.7608476432573192
Śląskie,0.5101273694861584,NA,3.209161847258525
Zachodniopomorskie,-1.0735846356311218,0,-0.6416434563186802
Dolnośląskie,1.085293047020306,1,-0.5214947037149174
Dolnośląskie,1.2377788312968006,1,-0.5214947037149174
Dolnośląskie,0.4352220719468273,1,-0.5214947037149174
Podkarpackie,0.23190769291150098,0,-0.6106617025026155
Podkarpackie,0.18910466574616924,1,-0.6106617025026155
Podkarpackie,-0.7097589047258005,NA,-0.6106617025026155
Wielkopolskie,1.4196916967494613,NA,-0.4633094587432838
Wielkopolskie,0.4566235855294936,0,-0.4633094587432838
Mazowieckie,1.4731954807061263,0,0.7608476432573192
Mazowieckie,-3.042523885236389,1,0.7608476432573192
Dolnośląskie,-0.09981576761982137,0,-0.5214947037149174
Podkarpackie,-0.7953649590564643,1,-0.6106617025026155
Zachodniopomorskie,-1.0414823652571228,0,-0.6416434563186802
Zachodniopomorskie,0.2426084497028341,0,-0.6416434563186802
Zachodniopomorskie,-0.5171452824818072,1,-0.6416434563186802
Wielkopolskie,-0.6134520936038038,1,-0.4633094587432838
Mazowieckie,0.34961601761616384,1,0.7608476432573192
Mazowieckie,-0.4529407417338092,1,0.7608476432573192
Mazowieckie,0.15700239537217062,0,0.7608476432573192
Mazowieckie,0.8980298031719788,1,0.7608476432573192
Mazowieckie,0.8311500732261478,1,0.7608476432573192
Pomorskie,-1.4695126369104419,0,-0.03712143063937014
Podkarpackie,-1.790535340650431,1,-0.6106617025026155
Mazowieckie,-0.3994369577771444,0,0.7608476432573192
Mazowieckie,-0.9701439866482362,1,0.7608476432573192
Mazowieckie,-0.4529407417338092,NA,0.7608476432573192
Mazowieckie,-1.7049292863197671,NA,0.7608476432573192
Mazowieckie,1.219052506911968,1,0.7608476432573192
Mazowieckie,0.6920402349388194,NA,0.7608476432573192
Podkarpackie,1.0986689930094722,NA,-0.6106617025026155
Podkarpackie,0.2426084497028341,1,-0.6106617025026155
Śląskie,-0.6000761476146377,0,3.209161847258525
Mazowieckie,-0.09981576761982137,NA,0.7608476432573192
Mazowieckie,-0.07841425403715513,0,0.7608476432573192
Mazowieckie,1.515998507871458,NA,0.7608476432573192
Mazowieckie,0.47802509911215985,NA,0.7608476432573192
Mazowieckie,1.4731954807061263,0,0.7608476432573192
Mazowieckie,1.4464435887277938,0,0.7608476432573192
Mazowieckie,1.462494723914793,0,0.7608476432573192
Podkarpackie,0.6706387213561531,NA,-0.6106617025026155
Podkarpackie,-1.1484899331704526,NA,-0.6106617025026155
Mazowieckie,-0.49574376889914096,1,0.7608476432573192
Mazowieckie,0.6171349373994882,0,0.7608476432573192
Mazowieckie,0.9916614250961423,1,0.7608476432573192
Podlaskie,1.1949758041314686,0,-0.7436565481520638
Łódzkie,-0.2924293898638146,0,-0.22376760606785712
Mazowieckie,1.3233848856274646,0,0.7608476432573192
Kujawsko-pomorskie,0.9809606683048092,0,-0.6046164822458225
Mazowieckie,-1.844039124607096,0,0.7608476432573192
Mazowieckie,0.5743319102341565,NA,0.7608476432573192
Mazowieckie,-1.9376707465312595,0,0.7608476432573192
Podlaskie,-1.0414823652571228,NA,-0.7436565481520638
Podlaskie,-0.23892560590714973,0,-0.7436565481520638
Warmińsko-mazurskie,0.65993796456482,0,-0.7678374291792363
Warmińsko-mazurskie,0.8311500732261478,NA,-0.7678374291792363
Warmińsko-mazurskie,-1.7691338270677652,NA,-0.7678374291792363
Warmińsko-mazurskie,1.526699264662791,0,-0.7678374291792363
Warmińsko-mazurskie,-0.3780354441944781,0,-0.7678374291792363
Warmińsko-mazurskie,-0.067713497245822,NA,-0.7678374291792363
Warmińsko-mazurskie,-1.4427607449321094,1,-0.7678374291792363
Warmińsko-mazurskie,-0.4315392281511434,0,-0.7678374291792363
Warmińsko-mazurskie,-0.37268506579881194,0,-0.7678374291792363
Warmińsko-mazurskie,-1.0147304732787903,NA,-0.7678374291792363
Warmińsko-mazurskie,0.6385364509821545,0,-0.7678374291792363
Zachodniopomorskie,0.13560088178950436,1,-0.6416434563186802
Zachodniopomorskie,-0.18542182195048487,1,-0.6416434563186802
Pomorskie,0.7776462892694829,0,-0.03712143063937014
Zachodniopomorskie,-1.326835879692669,NA,-0.6416434563186802
Podkarpackie,-0.7739634454737985,NA,-0.6106617025026155
Świętokrzyskie,1.4945969942887924,0,0.5719345102325348
Śląskie,0.8846538571828125,0,3.209161847258525
Dolnośląskie,-1.7102796647154337,1,-0.5214947037149174
Dolnośląskie,0.47802509911215985,0,-0.5214947037149174
Dolnośląskie,1.462494723914793,0,-0.5214947037149174
Dolnośląskie,1.4838962374974594,0,-0.5214947037149174
Dolnośląskie,0.4566235855294936,NA,-0.5214947037149174
Łódzkie,0.6706387213561531,NA,-0.22376760606785712
Łódzkie,-1.5051818262148848,1,-0.22376760606785712
Małopolskie,NA,1,0.5439753665448667
Małopolskie,-0.9130732837611272,1,0.5439753665448667
Małopolskie,-2.5395883160437394,NA,0.5439753665448667
Małopolskie,-1.1591906899617856,NA,0.5439753665448667
Małopolskie,-1.2019937171271176,NA,0.5439753665448667
Małopolskie,NA,1,0.5439753665448667
Mazowieckie,-2.21856561230375,NA,0.7608476432573192
Mazowieckie,-2.6198439919787364,NA,0.7608476432573192
Mazowieckie,0.2533092064941672,NA,0.7608476432573192
Mazowieckie,-0.05701274045448887,1,0.7608476432573192
Warmińsko-mazurskie,-0.955876310926459,NA,-0.7678374291792363
Dolnośląskie,0.049994827458840874,0,-0.5214947037149174
Dolnośląskie,1.4089909399581282,0,-0.5214947037149174
Podkarpackie,0.34961601761616384,1,-0.6106617025026155
